trn,first_reg_date,start_date,trial_results,pub_date,global_completion_date,prospective
2006-001936-30,2006-10-24,2006-09-21,TRUE,NA,2011-01-26,0
2005-003324-19,2006-09-14,2006-11-02,TRUE,NA,2011-08-31,1
2006-001431-22,NA,NA,FALSE,NA,NA,NA
2006-005792-17,NA,NA,FALSE,NA,NA,NA
2007-000730-40,2007-05-10,NA,TRUE,2020-02-05,2010-09-15,NA
2006-003566-34,NA,NA,FALSE,NA,NA,NA
2008-002632-15,2008-07-16,2008-10-10,FALSE,NA,NA,1
2006-001367-36,2006-08-29,2006-12-05,TRUE,NA,NA,1
2004-002501-72,2004-10-20,2005-01-31,FALSE,NA,NA,1
2008-004408-29,NA,NA,FALSE,NA,NA,NA
2008-008524-32,NA,NA,FALSE,NA,NA,NA
2010-021333-31,2011-06-14,2011-08-23,FALSE,NA,NA,1
2005-003854-80,2006-01-04,2006-01-31,FALSE,NA,NA,1
2004-000719-25,NA,NA,FALSE,NA,NA,NA
2004-002761-21,2005-11-28,2005-08-08,FALSE,NA,NA,0
2004-004403-37,2005-10-28,2006-02-27,TRUE,NA,NA,1
2004-005244-28,2005-02-01,2005-05-19,TRUE,2020-09-04,2013-08-31,1
2005-005638-10,2006-09-25,2007-02-12,TRUE,NA,NA,1
2007-002808-18,2007-07-10,2007-10-31,TRUE,2016-11-10,2009-02-20,1
2008-000245-55,2008-04-16,2008-06-24,TRUE,2022-02-19,2012-01-30,1
2008-008239-27,2008-12-30,2009-02-13,TRUE,2020-07-24,2010-01-29,1
2008-001770-33,2008-04-22,2008-05-15,TRUE,2020-08-29,2007-02-28,1
2009-014580-39,2009-10-12,2010-01-05,TRUE,2016-07-15,2011-01-03,1
2008-002673-13,2008-08-27,NA,TRUE,NA,NA,NA
2010-022007-22,NA,NA,FALSE,NA,NA,NA
2006-005249-13,2007-01-25,2007-01-31,FALSE,NA,NA,1
2009-014357-32,NA,NA,FALSE,NA,NA,NA
2007-007483-17,NA,NA,FALSE,NA,NA,NA
2009-010899-17,NA,NA,FALSE,NA,NA,NA
2008-008527-14,2009-02-17,2009-06-02,FALSE,NA,NA,1
2010-019890-14,NA,NA,FALSE,NA,NA,NA
2008-003392-40,2009-01-20,2009-04-06,TRUE,2020-11-06,2012-01-17,1
2009-011417-24,NA,NA,FALSE,NA,NA,NA
2009-013698-16,NA,NA,FALSE,NA,NA,NA
2012-003217-33,2012-08-13,2013-02-04,TRUE,2021-08-08,NA,1
2014-000599-24,2014-09-02,2014-12-18,TRUE,NA,NA,1
2012-004397-26,NA,NA,FALSE,NA,NA,NA
2007-000338-38,2007-04-23,2007-07-06,TRUE,NA,2011-09-30,1
2011-005807-33,2012-09-20,2013-01-31,TRUE,2021-09-19,2016-01-27,1
2014-002265-30,2014-12-23,2015-02-19,TRUE,NA,NA,1
2011-005615-87,2012-07-24,2012-11-06,TRUE,2021-09-16,NA,1
2010-021275-92,2010-10-01,2010-09-16,TRUE,NA,NA,0
2013-002708-14,2013-07-23,2013-10-09,TRUE,2021-09-09,2014-02-17,1
2009-016966-97,2010-02-08,2010-06-08,FALSE,NA,NA,1
2008-002356-18,2008-06-27,2010-01-12,TRUE,2019-01-30,2018-01-25,1
2012-004037-17,NA,NA,FALSE,NA,NA,NA
2011-003316-23,NA,NA,FALSE,NA,NA,NA
2006-000720-13,2010-01-29,2010-10-27,TRUE,2016-09-25,2014-02-18,1
2012-003546-33,NA,NA,FALSE,NA,NA,NA
2016-002882-69,NA,NA,FALSE,NA,NA,NA
2008-005994-36,2009-11-04,2010-01-27,TRUE,NA,2017-01-16,1
2011-004168-30,2012-06-04,2012-08-07,TRUE,NA,2017-02-28,1
2010-021719-18,2011-10-05,2011-12-02,FALSE,NA,NA,1
2008-005560-13,2009-06-05,2009-06-12,FALSE,NA,NA,1
2012-001650-26,2012-08-14,2014-04-28,FALSE,NA,NA,1
2014-001882-28,2014-08-07,2014-10-13,TRUE,2020-04-08,NA,1
2012-001989-15,2012-05-18,2012-09-17,FALSE,NA,NA,1
2011-005305-73,2012-04-03,2012-07-06,FALSE,NA,NA,1
2010-020606-15,2011-12-02,2012-02-06,TRUE,2021-11-06,NA,1
2012-004079-38,2012-12-27,2013-01-14,FALSE,NA,NA,1
2009-012815-16,2009-09-24,2010-03-18,TRUE,2020-07-24,2013-02-28,1
2013-001636-22,2013-06-25,2013-08-26,TRUE,2018-07-27,NA,1
2011-005471-17,2012-01-03,2012-05-08,TRUE,2018-06-16,2017-02-01,1
2009-014040-11,2010-07-01,2010-08-13,TRUE,2022-04-21,NA,1
2005-005362-36,2006-04-07,2006-06-27,FALSE,NA,NA,1
2012-002716-10,2012-11-02,2012-11-08,FALSE,NA,NA,1
2010-021777-37,2010-08-09,2010-09-27,FALSE,NA,NA,1
2011-002291-16,2012-04-23,2012-07-25,FALSE,NA,NA,1
2014-002750-39,NA,NA,FALSE,NA,NA,NA
2012-001127-12,NA,NA,FALSE,NA,NA,NA
2011-003471-11,NA,NA,FALSE,NA,NA,NA
2012-000568-32,NA,NA,FALSE,NA,NA,NA
2013-004414-18,NA,NA,FALSE,NA,NA,NA
2012-000108-13,2012-11-09,2012-12-27,TRUE,2016-07-29,2014-09-11,1
